proteinname,go_IC
fun14,mitophagy
fun14,mitochondrion organization
fun14,biological_process unknown
fun14,phospholipid homeostasis
mtc4,biological_process unknown
pet8,transport
pet8,S-adenosyl-L-methionine transport
pet8,S-adenosyl-L-methionine transmembrane transport
cks1,chromatin remodeling
cks1,"transcription, DNA-templated"
cks1,regulation of transcription from RNA polymerase II promoter
cks1,cell cycle
cks1,regulation of mitotic cell cycle
cks1,activation of protein kinase activity
cks1,positive regulation of cyclin-dependent protein serine/threonine kinase activity
cks1,"positive regulation of transcription, DNA-templated"
cks1,positive regulation of transcription from RNA polymerase II promoter
cks1,cell division
cks1,regulation of nucleosome density
fhn1,transport
fhn1,protein transport
fhn1,eisosome assembly
fhn1,establishment of protein localization to plasma membrane
iml2,biological_process unknown
iml2,cellular response to misfolded protein
cdc28,meiotic DNA double-strand break processing
cdc28,chromatin remodeling
cdc28,7-methylguanosine mRNA capping
cdc28,protein phosphorylation
cdc28,cell cycle
cdc28,negative regulation of transcription from RNA polymerase II promoter during mitotic cell cycle
cdc28,synaptonemal complex assembly
cdc28,regulation of budding cell apical bud growth
cdc28,regulation of double-strand break repair via homologous recombination
cdc28,regulation of filamentous growth
cdc28,positive regulation of nuclear cell cycle DNA replication
cdc28,positive regulation of spindle pole body separation
cdc28,positive regulation of triglyceride catabolic process
cdc28,vesicle-mediated transport
cdc28,phosphorylation
cdc28,histone phosphorylation
cdc28,peptidyl-serine phosphorylation
cdc28,peptidyl-threonine phosphorylation
cdc28,cell differentiation
cdc28,regulation of telomere maintenance via telomerase
cdc28,regulation of protein localization
cdc28,protein localization to nucleus
cdc28,mitotic cell cycle phase transition
cdc28,positive regulation of glycogen catabolic process
cdc28,negative regulation of sister chromatid cohesion
cdc28,"negative regulation of transcription, DNA-templated"
cdc28,"positive regulation of transcription, DNA-templated"
cdc28,negative regulation of mitotic cell cycle
cdc28,positive regulation of mitotic cell cycle
cdc28,positive regulation of transcription from RNA polymerase II promoter
cdc28,cell division
cdc28,positive regulation of meiotic cell cycle
cdc28,negative regulation of meiotic cell cycle
cdc28,regulation of nucleosome density
cdc28,phosphorylation of RNA polymerase II C-terminal domain
cdc28,regulation of spindle assembly
cdc28,positive regulation of trehalose catabolic process
cdc28,protein phosphorylation involved in cellular protein catabolic process
cdc28,protein localization to nuclear periphery
cdc28,mitotic sister chromatid biorientation
cdc28,protein phosphorylation involved in mitotic spindle assembly
cdc28,protein phosphorylation involved in DNA double-strand break processing
cdc28,protein phosphorylation involved in protein localization to spindle microtubule
cdc28,protein phosphorylation involved in double-strand break repair via nonhomologous end joining
cdc28,negative regulation of double-strand break repair via nonhomologous end joining
ypl191c,proteolysis
ypl191c,biological_process unknown
ypl191c,protein K48-linked deubiquitination
ypl039w,biological_process unknown
ayr1,phosphatidic acid biosynthetic process
ayr1,metabolic process
ayr1,triglyceride catabolic process
ayr1,oxidation-reduction process
mud2,mRNA branch site recognition
mud2,mRNA processing
mud2,RNA splicing
clg1,regulation of cyclin-dependent protein serine/threonine kinase activity
clg1,positive regulation of macroautophagy
clg1,regulation of protein kinase activity
ics3,biological_process unknown
ics3,copper ion homeostasis
hul5,protein polyubiquitination
hul5,cellular protein modification process
hul5,free ubiquitin chain polymerization
hul5,ubiquitin-dependent ERAD pathway
hul5,protein ubiquitination involved in ubiquitin-dependent protein catabolic process
pfd1,protein folding
pfd1,cytoskeleton organization
pfd1,positive regulation of transcription elongation from RNA polymerase II promoter
atg29,mitophagy
atg29,transport
atg29,autophagy
atg29,protein transport
atg29,macroautophagy
atg29,piecemeal microautophagy of nucleus
atg29,late nucleophagy
tir4,response to stress
tir4,biological_process unknown
tir4,fungal-type cell wall organization
tir4,cell wall organization
mae1,pyruvate metabolic process
mae1,malate metabolic process
mae1,cellular amino acid metabolic process
mae1,oxidation-reduction process
thr1,isoleucine metabolic process
thr1,methionine metabolic process
thr1,threonine metabolic process
thr1,cellular amino acid biosynthetic process
thr1,methionine biosynthetic process
thr1,threonine biosynthetic process
thr1,homoserine metabolic process
thr1,phosphorylation
smc5,double-strand break repair via homologous recombination
smc5,recombinational repair
smc5,DNA repair
smc5,DNA recombination
smc5,cellular response to DNA damage stimulus
smc5,sister chromatid cohesion
smc5,protein sumoylation
smc5,chromosome separation
smc5,resolution of recombination intermediates
ask1,mitotic sister chromatid segregation
ask1,cell cycle
ask1,chromosome segregation
ask1,attachment of spindle microtubules to kinetochore
ask1,mitotic spindle organization in nucleus
ask1,regulation of microtubule polymerization or depolymerization
ask1,positive regulation of microtubule polymerization
ask1,cell division
ask1,attachment of mitotic spindle microtubules to kinetochore
ask1,positive regulation of attachment of spindle microtubules to kinetochore
ask1,mitotic sister chromatid biorientation
msn1,"transcription, DNA-templated"
msn1,"regulation of transcription, DNA-templated"
msn1,positive regulation of starch catabolic process by positive regulation of transcription from RNA polymerase II promoter
msn1,positive regulation of invasive growth in response to glucose limitation by positive regulation of transcription from RNA polymerase II promoter
msn1,positive regulation of transcription from RNA polymerase II promoter in response to increased salt
msn1,positive regulation of transcription from RNA polymerase II promoter in response to heat stress
msn1,positive regulation of transcription from RNA polymerase II promoter in response to methylglyoxal
msn1,positive regulation of pseudohyphal growth by positive regulation of transcription from RNA polymerase II promoter
hir1,negative regulation of transcription from RNA polymerase II promoter
hir1,chromatin organization
hir1,DNA replication-independent nucleosome assembly
hir1,"transcription, DNA-templated"
hir1,"regulation of transcription, DNA-templated"
hir1,regulation of transcription from RNA polymerase II promoter
hir1,transcription elongation from RNA polymerase II promoter
hir1,covalent chromatin modification
hir1,regulation of chromatin silencing
arc15,mitochondrion inheritance
arc15,actin cortical patch assembly
arc15,regulation of actin filament polymerization
arc15,Arp2/3 complex-mediated actin nucleation
cab5,coenzyme A biosynthetic process
cab5,phosphorylation
gis2,positive regulation of translation
ppg1,glycogen metabolic process
ppg1,protein dephosphorylation
pet494,regulation of translation
pet494,positive regulation of mitochondrial translation
pet494,mitochondrial respiratory chain complex IV biogenesis
sec65,SRP-dependent cotranslational protein targeting to membrane
sec65,"SRP-dependent cotranslational protein targeting to membrane, translocation"
sec65,"SRP-dependent cotranslational protein targeting to membrane, signal sequence recognition"
sec65,protein targeting to ER
caf40,"transcription, DNA-templated"
caf40,"regulation of transcription, DNA-templated"
caf40,regulation of transcription from RNA polymerase II promoter
caf40,mRNA catabolic process
caf40,negative regulation of translation
caf40,positive regulation of transcription elongation from RNA polymerase II promoter
bet1,transport
bet1,ER to Golgi vesicle-mediated transport
bet1,"retrograde vesicle-mediated transport, Golgi to ER"
bet1,vesicle fusion
bet1,protein transport
bet1,vesicle-mediated transport
bna6,NAD biosynthetic process
bna6,pyridine nucleotide biosynthetic process
bna6,quinolinate catabolic process
bna6,'de novo' NAD biosynthetic process from tryptophan
rcf2,mitochondrial respiratory chain complex IV assembly
yjr115w,biological_process unknown
yjr115w,cellular response to drug
yhr078w,biological_process unknown
poc4,proteasome assembly
poc4,chaperone-mediated protein complex assembly
tel2,telomere maintenance
