proteinname,go_IC
fun14,mitochondrion
fun14,mitochondrial outer membrane
fun14,membrane
fun14,integral component of membrane
fun14,integral component of mitochondrial outer membrane
mtc4,cytoplasm
mtc4,membrane
mtc4,integral component of membrane
pet8,mitochondrion
pet8,mitochondrial inner membrane
pet8,membrane
pet8,integral component of membrane
cks1,cyclin-dependent protein kinase holoenzyme complex
cks1,nucleus
cks1,cytoplasm
cks1,SCF ubiquitin ligase complex
fhn1,plasma membrane
fhn1,membrane
fhn1,integral component of membrane
fhn1,eisosome
fhn1,membrane raft
fhn1,cell periphery
iml2,nucleus
iml2,cytoplasm
iml2,mitochondrion
iml2,mitochondrial outer membrane
iml2,membrane
iml2,integral component of membrane
cdc28,astral microtubule
cdc28,cyclin-dependent protein kinase holoenzyme complex
cdc28,nucleus
cdc28,cytoplasm
cdc28,endoplasmic reticulum
cdc28,spindle pole body
cdc28,ribosome
cdc28,cellular bud neck
cdc28,cytoplasmic stress granule
cdc28,mitotic spindle
ypl191c,cytoplasm
ypl191c,endoplasmic reticulum
ypl191c,cell periphery
ypl039w,cellular_component unknown
ayr1,cytoplasm
ayr1,mitochondrion
ayr1,mitochondrial outer membrane
ayr1,endoplasmic reticulum
ayr1,lipid particle
ayr1,integral component of membrane
mud2,commitment complex
clg1,cyclin-dependent protein kinase holoenzyme complex
ics3,cellular_component unknown
ics3,membrane
ics3,integral component of membrane
hul5,proteasome complex
hul5,intracellular
hul5,nucleus
hul5,cytoplasm
pfd1,cytoplasm
pfd1,prefoldin complex
atg29,pre-autophagosomal structure
atg29,nucleus
atg29,cytoplasm
atg29,cytosol
tir4,fungal-type vacuole
tir4,extracellular region
tir4,cell wall
tir4,fungal-type cell wall
tir4,membrane
tir4,anchored component of membrane
tir4,cell periphery
mae1,mitochondrion
mae1,mitochondrial matrix
thr1,cellular_component unknown
smc5,nucleus
smc5,chromosome
smc5,Smc5-Smc6 complex
ask1,"chromosome, centromeric region"
ask1,kinetochore
ask1,condensed chromosome kinetochore
ask1,condensed nuclear chromosome kinetochore
ask1,"condensed nuclear chromosome, centromeric region"
ask1,nucleus
ask1,chromosome
ask1,cytoplasm
ask1,spindle
