stdname,sysname
Uncharacterized,YGR164W
MTC4,YBR255W
PET8,YNL003C
FHN1,YGR131W
IML2,YJL082W
CDC28,YBR160W
CKS1,YBR135W
FUN14,YAL008W
Uncharacterized,YPL191C
CLG1,YGL215W
MUD2,YKL074C
Uncharacterized,YNL170W
Uncharacterized,YPL039W
Uncharacterized,YJL142C
AYR1,YIL124W
ICS3,YJL077C
HUL5,YGL141W
Uncharacterized,YKL083W
THR1,YHR025W
ASK1,YKL052C
TIR4,YOR009W
PFD1,YJL179W
ATG29,YPL166W
MAE1,YKL029C
MSN1,YOL116W
HIR1,YBL008W
SMC5,YOL034W
CAB5,YDR196C
PPG1,YNR032W
GIS2,YNL255C
Uncharacterized,YCL023C
ARC15,YIL062C
PET494,YNR045W
SEC65,YML105C
RCF2,YNR018W
Uncharacterized,YIL059C
BNA6,YFR047C
BET1,YIL004C
CAF40,YNL288W
POC4,YPL144W
Uncharacterized,YJR115W
Uncharacterized,YHR078W
ILV5,YLR355C
HTA2,YBL003C
TEL2,YGR099W
EXO1,YOR033C
EXG1,YLR300W
HIR3,YJR140C
QDR3,YBR043C
Uncharacterized,YHR112C
Uncharacterized,YOR062C
NFT1,YKR103W
ERG11,YHR007C
Uncharacterized,YER121W
LOT6,YLR011W
HBS1,YKR084C
Uncharacterized,YNL144C
EAP1,YKL204W
IMG1,YCR046C
OPT2,YPR194C
ROK1,YGL171W
PNT1,YOR266W
SHE9,YDR393W
UGA1,YGR019W
JLP1,YLL057C
Uncharacterized,YNL208W
BUD19,YJL188C
PHO89,YBR296C
MET2,YNL277W
YET2,YMR040W
RSN1,YMR266W
SED1,YDR077W
RLM1,YPL089C
TRS23,YDR246W
CYB2,YML054C
CAB4,YGR277C
FEN2,YCR028C
MPD1,YOR288C
SCM3,YDL139C
OAF3,YKR064W
Uncharacterized,YGR259C
Uncharacterized,YLR179C
GLE2,YER107C
HSP32,YPL280W
ARP8,YOR141C
CHS2,YBR038W
RNA15,YGL044C
SRO77,YBL106C
TIF6,YPR016C
MRPL39,YML009C
ASP3-2,YLR157C
FRD1,YEL047C
TCB3,YML072C
PEX7,YDR142C
PSA1,YDL055C
OTU1,YFL044C
Uncharacterized,YBR116C
URA2,YJL130C
RAM2,YKL019W
PAL1,YDR348C
STN1,YDR082W
BOI1,YBL085W
SEC5,YDR166C
FAS1,YKL182W
SQT1,YIR012W
NMD4,YLR363C
CSN9,YDR179C
Uncharacterized,YML089C
ATG23,YLR431C
RQC1,YDR333C
SMA1,YPL027W
PET10,YKR046C
NCA3,YJL116C
NPA3,YJR072C
GAP1,YKR039W
APL1,YJR005W
SRB2,YHR041C
CHZ1,YER030W
CDH1,YGL003C
HEM12,YDR047W
CYK3,YDL117W
RQC2,YPL009C
HER2,YMR293C
RRB1,YMR131C
SLM1,YIL105C
IME4,YGL192W
HXT8,YJL214W
MSW1,YDR268W
RMR1,YGL250W
CPA2,YJR109C
NDL1,YLR254C
ERG13,YML126C
NGR1,YBR212W
MCM10,YIL150C
ATG26,YLR189C
Uncharacterized,YLR349W
SYH1,YPL105C
RPL11b,YGR085C
LYS5,YGL154C
ENP2,YGR145W
Uncharacterized,YKL177W
TIR2,YOR010C
CLD1,YGR110W
GDH2,YDL215C
UTP11,YKL099C
Uncharacterized,YNR066C
CST9,YLR394W
IPK1,YDR315C
PIG2,YIL045W
CCC1,YLR220W
RPC31,YNL151C
LEU4,YNL104C
FUS2,YMR232W
SAL1,YNL083W
SNU13,YEL026W
DIP5,YPL265W
TGL5,YOR081C
HER1,YOR227W
CCA1,YER168C
DFG5,YMR238W
Uncharacterized,YGR050C
FAL1,YDR021W
PUS2,YGL063W
PUS1,YPL212C
IMA2,YOL157C
NOP58,YOR310C
Uncharacterized,YOR345C
SYT1,YPR095C
CCT6,YDR188W
SAW1,YAL027W
MTO1,YGL236C
NSG1,YHR133C
KCS1,YDR017C
ICE2,YIL090W
YPC1,YBR183W
RRT8,YOL048C
Uncharacterized,YCR007C
BRR1,YPR057W
YEA4,YEL004W
Uncharacterized,YLL032C
Uncharacterized,YGR290W
MRPL1,YDR116C
KIN1,YDR122W
BFR2,YDR299W
Uncharacterized,YLR030W
Uncharacterized,YNL234W
APM4,YOL062C
CDC6,YJL194W
IRC10,YOL015W
YRF1-5,YLR467W
ERG3,YLR056W
MET7,YOR241W
BDF2,YDL070W
QRI5,YLR204W
KTI12,YKL110C
Uncharacterized,YPR039W
MEH1,YKR007W
VPS9,YML097C
Uncharacterized,YDL096C
SAF1,YBR280C
EGD2,YHR193C
SWT21,YNL187W
RIO1,YOR119C
Uncharacterized,YMR141C
EMC6,YLL014W
ATP1,YBL099W
RAD26,YJR035W
IAH1,YOR126C
MSS1,YMR023C
Uncharacterized,YBL062W
KAP104,YBR017C
Uncharacterized,YOR199W
ORC4,YPR162C
TRS65,YGR166W
RPF1,YHR088W
Uncharacterized,YCR061W
RGC1,YPR115W
ENT1,YDL161W
Uncharacterized,YKL050C
HIT1,YJR055W
AGX1,YFL030W
MRP7,YNL005C
LSG1,YGL099W
RSA1,YPL193W
RPI1,YIL119C
Uncharacterized,YGL217C
Uncharacterized,YLR379W
Uncharacterized,YJL144W
HSL7,YBR133C
HOM6,YJR139C
PRY1,YJL079C
TOS1,YBR162C
AAD14,YNL331C
APC1,YNL172W
AHA1,YDR214W
CKB1,YGL019W
CDC60,YPL160W
Uncharacterized,YGR201C
FAP1,YNL023C
Uncharacterized,YNL058C
STH1,YIL126W
Uncharacterized,YOL036W
YNG1,YOR064C
IRA2,YOL081W
MRPL27,YBR282W
SME1,YOR159C
ARO2,YGL148W
ATP14,YLR295C
MTG2,YHR168W
MSS116,YDR194C
