"genes","Glucose","Ethanol","P_Value","Fold_Expression_Change"
"YKR097W",53.3527234999758,2622.16091922876,6.76450324076143e-14,49.1476488398938
"YNL117W",128.56633423542,1979.96574335587,4.79731549631749e-21,15.4003437613016
"YNL205C",0.0126241420254355,0.193847005388382,0.0362786365294755,15.3552617673196
"YHL047C",88.7797888587952,1194.04118334265,1.86603897896958e-19,13.4494708614568
"YER065C",498.101271932858,6149.42983047516,7.34148161235326e-16,12.345742074925
"YOR082C",0,0.079473652106511,0.0175562223556407,10
"YGR138C",13.2448787540173,124.670785521087,5.8415372245366e-10,9.41275400375206
"YLR377C",87.0187775196251,797.192370088476,1.73991101984458e-13,9.16115340632874
"YLR136C",38.5478090882477,343.159492961017,1.71748578799471e-13,8.90217890659934
"YOR381W",24.3730549883528,175.398486053874,5.29905309221538e-09,7.19640956530447
"YOR282W",0.0174665118062441,0.119948376134428,0.0376221657200519,6.86733432897275
"YCR021C",150.29644172424,996.769757338632,1.8933611963513e-10,6.63202498943707
"YGL072C",0.027277839974035,0.176001847977492,0.0120171342031559,6.45219152781243
"YBL043W",78.8606314120755,501.122810116771,3.05406847908348e-10,6.35453712636692
"YPL033C",0.726299105487714,4.48246317248117,2.1275756472935e-05,6.17164903359088
"YHL040C",306.472634369883,1876.74485831318,1.81356444609311e-14,6.12369473761279
"YLR308W",0.502122380969185,2.82871635859513,0.000332562581473219,5.63351976690465
"YLL053C",9.30192972946795,52.3372630168861,1.68741312670297e-10,5.62649520465467
"YLL052C",10.8409727119912,58.3163318779701,3.36728230641909e-13,5.37925271350111
"YFL032W",0.0363281096989667,0.193425935156075,0.00358012749518528,5.32441508129383
"YEL065W",113.739129080148,595.040254509725,1.85039393231663e-11,5.23162309507769
"YKL220C",16.8300768168866,86.3497732991502,7.42421061883961e-07,5.13068206631775
"YOR383C",651.273889587575,3339.06096275857,8.75762779697918e-10,5.12696887767612
"YLR012C",1.1501556127914,5.56806937933495,8.28214512418575e-05,4.84114437856055
"YOR382W",251.074431262053,1179.14420165468,3.42085510395706e-09,4.69639300078301
"YJR095W",213.849646099855,975.832999645196,9.28451772065322e-10,4.56317332033152
"YER175C",84.8434456085495,374.48490090173,1.74436809175266e-12,4.41383418855391
"YHL016C",32.133450259496,138.186222479358,2.59839558136243e-12,4.30038546634193
"YPL062W",0.341017924155422,1.42142194227152,0.000590589699005789,4.16817369876339
"YOL158C",62.2184473005216,259.147123261492,5.44727855260529e-11,4.16511717191823
"YGR139W",1.04725852063997,4.3253075815423,0.000127109702950808,4.13012402983281
"YPL156C",84.6200249285614,348.425236867385,3.83033674216393e-08,4.11752699389459
"YDR536W",189.225149626658,774.649848802984,7.85229262484929e-17,4.0937996367363
"YOL058W",200.854111733274,800.483319306244,7.3741764049874e-13,3.98539672600406
"YER145C",339.978880619104,1341.7458525339,5.02256656408168e-13,3.94655647459798
"YOL126C",524.313507636594,2066.00806085248,1.0309769103035e-11,3.94040594179093
"YGL255W",40.8082584386104,156.164663952949,9.51590380916229e-07,3.82679070188389
"YLR205C",105.349534721331,389.676216285449,3.60111426519335e-11,3.69888882106803
"YMR058W",570.993032415691,2054.80699891563,5.1786718142147e-09,3.59865511882411
"YDR270W",45.8505701323847,163.955745123528,4.00019837720415e-14,3.57587145918006
"YKL029C",43.2947853925283,153.349412169918,5.42040081961729e-09,3.54198342316723
"YBL015W",559.627967435645,1980.66744621583,1.10352202540515e-14,3.53925743792209
"YDR309C",44.7136644941816,156.742407415845,5.20844442231384e-12,3.50546995396097
"YOL125W",25.9905049220626,90.314443398072,1.21555957853552e-10,3.47490145608547
"YMR251W",33.8123600289944,116.434135943765,1.08607322443574e-08,3.44353768396887
"YHL035C",100.559446288959,332.394236009805,2.89741194425629e-08,3.30545014194555
