"genes","wildtype","Biofuel.Production.Strain","P_Value","Fold_Expression_Change"
"YDR544C",0.00975072993630314,6.02954813630677,1.27619810261749e-06,618.368899117802
"YNL335W",0.00869433025421773,4.2707819140668,0.000212930230866125,491.214594936164
"YPL278C",0.00904626125686187,3.86404663664596,1.06057312056455e-05,427.142940816015
"YMR322C",0.0541245497762034,14.0049887752586,0.000237910883147112,258.754831830788
"YLL046C",0.00963154901981572,2.22389099464659,0.00175410112645554,230.89650377849
"YFL061W",0.00618487552926839,1.42242292542889,0.00165769234425535,229.984082734992
"YAR047C",0.0464325041759533,10.5203396454376,8.2486741421282e-06,226.572738906594
"YJR162C",0.00704724774067516,1.37578849606985,2.60880597683904e-05,195.223517988321
"YJL219W",0.0442924608536432,6.0730446017181,5.07008622464742e-05,137.112377245993
"YBR072W",52.1612360178545,6608.32495698558,0.000220175670919627,126.69034442979
"YPR150W",0.270066306377864,33.46492171353,0.00986602394434812,123.913723864196
"YCR102C",1.23580016318782,149.601237938166,0.000243970645893445,121.056172668128
"YOR186W",0.404740071341435,45.9114207646565,0.000205603639659899,113.43433481269
"YDR543C",0.0138825853826938,1.30450391470266,0.000498202173451873,93.9669289791562
"YPR198W",0.791808019321549,72.9153283516199,6.63055563797462e-07,92.0871304310564
"YBR299W",0.199531613169334,18.104012081128,0.000175737530774409,90.7325500634523
"YGL255W",12.5052855563816,1105.2184903204,1.64600560501057e-05,88.3801081820474
"YPL171C",3.60358098697078,267.642317785781,0.00304460355310806,74.2712093202503
"YFL059W",0.229750061951665,16.4793505917718,1.22963629589472e-05,71.7272955305611
"YAR075W",0.0307199127939134,2.04548285058405,3.12411027592992e-07,66.5849172263707
"YMR324C",0.00876463193849391,0.559929886219404,0.00141999317260504,63.885156860976
"YCR108C",0.00490452748703194,0.311418127313425,0.00213114263376679,63.4960509726667
"SCER_lnc1488",0.586120926122216,34.9387156683097,4.67134954340308e-08,59.6100806355179
"YMR326C",0.00716353168845124,0.405576878225122,0.00165420533289391,56.6168889681855
"YMR303C",26.2554250477341,1307.26371819881,0.000382410434425976,49.7902325261205
"YHR140W",5.07890808076535,240.926310187623,0.000333711988077011,47.4366352681298
"YOR049C",14.7029538343845,692.480910139717,0.000110516747585018,47.0980809665792
"YNR074C",1.35783800318093,62.4380573283644,0.000186374934253499,45.9834363024855
"YLR311C",1.13692773471736,47.3026393466808,0.00221044186649312,41.6056692982692
"YPL054W",6.90470246800512,286.238277726387,4.91987158465287e-05,41.4555556959554
"YPR200C",0.453930293813547,18.1725595637033,8.87353331104861e-05,40.0338109427165
"YAL067C",1.14939802595168,45.634406606944,0.000317562491898367,39.7028753978932
"YHR125W",0.0230362767405796,0.900487458607561,0.00022386904149483,39.0899739896468
"YLR303W",88.1844098448263,3237.41615991246,0.00362410306783999,36.711887799773
"YIR040C",0.0378245738659926,1.3550779481545,0.00176174109729594,35.8253328366728
"YBL043W",3.36422486846822,116.121259914614,0.000963395533396066,34.5164976940099
"YJL116C",28.3884739072695,959.513207163254,0.00559623431825048,33.7993937362568
"YIR013C",0.102345365535559,3.38105297303133,0.00266897139380367,33.0357213083245
"YPR201W",0.330589054789777,10.9067782729981,7.6124960519665e-05,32.991952138082
"YNR070W",0.781426771751267,24.8872278837815,1.85295337653376e-08,31.8484454122379
"YIL029C",0.528327902774179,16.801348645492,2.30064856792788e-05,31.8009867683883
"YPR196W",1.48473904986549,45.1879244474861,1.23182584074867e-05,30.4349268994979
"YER084W",1.085583570051,31.7558726660327,0.00112708411562738,29.2523519534667
"YOR298W",6.5379264170044,180.481727158742,0.000640738810074555,27.6053469628122
"YHL036W",23.239006028135,622.45422869716,0.00433973533544345,26.7848903668069
"YKL043W",4.94618650069333,131.074644488378,7.54345753481261e-06,26.500141972003
"YDL210W",2.4212187220397,64.1363466994726,1.09132909248433e-05,26.4892824905312
"YLR013W",0.0148403827987037,0.384379056254007,0.00907290401444194,25.9008855410106
"YJL153C",24.7434449818275,635.56677777531,0.000693460469138548,25.686268756921
"YNL194C",9.38509562845377,240.248868425936,0.000922526113326058,25.5989792685275
"YIL102C",0.498344900384744,12.6790976703606,1.13441518758992e-06,25.4424148026232
"YJL225C",0.0918564063870407,2.29093435917975,0.00316499143059059,24.9403873860121
"YOR392W",0.0239999759271162,0.596734493410412,0.00563112455077193,24.8639621649035
"YMR321C",0.30306755170024,7.48341645369792,6.74900940785855e-05,24.6922391120897
"YPL277C",0.255406808737827,6.29740971859899,5.19687670051303e-06,24.6563893488964
"YEL076C",0.080342507653288,1.95464794983078,3.53305759241581e-06,24.3289387762941
"YER181C",0.114550634580551,2.77505416608532,7.70625602429931e-06,24.2255678132793
"YKL163W",41.9035448275696,990.126060384116,0.00355855899656842,23.6286945283131
"YGR182C",28.3799682989728,667.192171150476,3.77490765284222e-05,23.509264144408
"YBL048W",5.03667131127142,117.057211133616,7.3092061729115e-07,23.2409867349607
"YDL039C",6.88643406559309,159.280124614007,0.00222485882066852,23.1295505187254
"YBL049W",12.6378074893246,285.781166484981,4.15919330210458e-06,22.6131919422246
"YIR017C",4.77549860053953,106.407141286292,0.00109957229259444,22.2818914184731
"YHL041W",0.171979708832224,3.67659823546846,0.00286156821416868,21.3780931508332
"YDL037C",2.01290362579274,42.0314933936838,0.00461736817029574,20.8810262225697
"YOL157C",2.90603718079823,60.6316062640411,0.000235573180138478,20.8640160093846
"YGR236C",4.15144454878731,85.7609832779719,0.00150935697856012,20.658106418168
"YLL055W",15.1628586741037,308.017122710179,0.00255706665246472,20.3139216245703
"YGL184C",3.32867515058779,67.0003924225364,0.000331598155534627,20.1282460412832
"YKR039W",10.5419718425318,211.902519424546,0.000311560221439006,20.100842858413
"YJL015C",0.253773330950411,5.02598906455629,0.00450871761774346,19.8050324899522
"YOR391C",0.0995969433153062,1.94199010929294,0.000274455564869186,19.4984910645796
"YOR214C",0.220937669355564,4.26293162503711,0.000436942701506039,19.2947252384409
