description,go_BioProc,go_CellComp,go_MolFunc,proteinname
Mitochondrial protein of unknown function,mitophagy:mitochondrion organization:biological_process unknown:phospholipid homeostasis,mitochondrion:mitochondrial outer membrane:membrane:integral component of membrane:integral component of mitochondrial outer membrane,molecular_function unknown,Fun14p
"Protein of unknown function, required for normal growth rate at 15 degrees C; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm in a punctate pattern; mtc4 is synthetically sick with cdc13-1",biological_process unknown,cytoplasm:membrane:integral component of membrane,molecular_function unknown,Mtc4p
"S-adenosylmethionine transporter of the mitochondrial inner membrane, member of the mitochondrial carrier family; required for biotin biosynthesis and respiratory growth",transport:S-adenosyl-L-methionine transport:S-adenosyl-L-methionine transmembrane transport,mitochondrion:mitochondrial inner membrane:membrane:integral component of membrane,S-adenosyl-L-methionine transmembrane transporter activity,Pet8p
"Cyclin-dependent protein kinase regulatory subunit and adaptor; modulates proteolysis of M-phase targets through interactions with the proteasome; role in transcriptional regulation, recruiting proteasomal subunits to target gene promoters","chromatin remodeling:transcription, DNA-templated:regulation of transcription from RNA polymerase II promoter:cell cycle:regulation of mitotic cell cycle:activation of protein kinase activity:positive regulation of cyclin-dependent protein serine/threonine kinase activity:positive regulation of transcription, DNA-templated:positive regulation of transcription from RNA polymerase II promoter:cell division:regulation of nucleosome density",cyclin-dependent protein kinase holoenzyme complex:nucleus:cytoplasm:SCF ubiquitin ligase complex,cyclin-dependent protein serine/threonine kinase regulator activity:protein kinase binding:protein kinase activator activity:histone binding:ubiquitin binding:cyclin-dependent protein serine/threonine kinase activator activity,Cks1p
"Protein of unknown function; induced by ketoconazole; promoter region contains sterol regulatory element motif, which has been identified as a Upc2p-binding site; overexpression complements function of Nce102p in NCE102 deletion strain",transport:protein transport:eisosome assembly:establishment of protein localization to plasma membrane,plasma membrane:membrane:integral component of membrane:eisosome:membrane raft:cell periphery,molecular_function unknown,Fhn1p
"Protein of unknown function; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies",biological_process unknown:cellular response to misfolded protein,nucleus:cytoplasm:mitochondrion:mitochondrial outer membrane:membrane:integral component of membrane,molecular_function unknown,Iml2p
Catalytic subunit of the main cell cycle cyclin-dependent kinase (CDK); alternately associates with G1 cyclins (CLNs) and G2/M cyclins (CLBs) which direct the CDK to specific substrates,"meiotic DNA double-strand break processing:chromatin remodeling:7-methylguanosine mRNA capping:protein phosphorylation:cell cycle:negative regulation of transcription from RNA polymerase II promoter during mitotic cell cycle:synaptonemal complex assembly:regulation of budding cell apical bud growth:regulation of double-strand break repair via homologous recombination:regulation of filamentous growth:positive regulation of nuclear cell cycle DNA replication:positive regulation of spindle pole body separation:positive regulation of triglyceride catabolic process:vesicle-mediated transport:phosphorylation:histone phosphorylation:peptidyl-serine phosphorylation:peptidyl-threonine phosphorylation:cell differentiation:regulation of telomere maintenance via telomerase:regulation of protein localization:protein localization to nucleus:mitotic cell cycle phase transition:positive regulation of glycogen catabolic process:negative regulation of sister chromatid cohesion:negative regulation of transcription, DNA-templated:positive regulation of transcription, DNA-templated:negative regulation of mitotic cell cycle:positive regulation of mitotic cell cycle:positive regulation of transcription from RNA polymerase II promoter:cell division:positive regulation of meiotic cell cycle:negative regulation of meiotic cell cycle:regulation of nucleosome density:phosphorylation of RNA polymerase II C-terminal domain:regulation of spindle assembly:positive regulation of trehalose catabolic process:protein phosphorylation involved in cellular protein catabolic process:protein localization to nuclear periphery:mitotic sister chromatid biorientation:protein phosphorylation involved in mitotic spindle assembly:protein phosphorylation involved in DNA double-strand break processing:protein phosphorylation involved in protein localization to spindle microtubule:protein phosphorylation involved in double-strand break repair via nonhomologous end joining:negative regulation of double-strand break repair via nonhomologous end joining",astral microtubule:cyclin-dependent protein kinase holoenzyme complex:nucleus:cytoplasm:endoplasmic reticulum:spindle pole body:ribosome:cellular bud neck:cytoplasmic stress granule:mitotic spindle,"nucleotide binding:RNA polymerase II core binding:protein kinase activity:protein serine/threonine kinase activity:cyclin-dependent protein serine/threonine kinase activity:ATP binding:kinase activity:transferase activity:transferase activity, transferring phosphorus-containing groups:histone binding",Cdc28p
Putative protein of unknown function; diploid deletion strain exhibits high budding index; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm,proteolysis:biological_process unknown:protein K48-linked deubiquitination,cytoplasm:endoplasmic reticulum:cell periphery,molecular_function unknown:thiol-dependent ubiquitin-specific protease activity:peptidase activity:cysteine-type peptidase activity:hydrolase activity:thiol-dependent ubiquitinyl hydrolase activity:Lys48-specific deubiquitinase activity,YPL191C
Putative protein of unknown function; YPL039W is not an essential gene,biological_process unknown,cellular_component unknown,molecular_function unknown,YPL039W
"NADPH-dependent 1-acyl dihydroxyacetone phosphate reductase found in lipid particles, ER, and mitochondrial outer membrane; involved in phosphatidic acid biosynthesis; required for spore germination; capable of metabolizing steroid hormones",phosphatidic acid biosynthetic process:metabolic process:triglyceride catabolic process:oxidation-reduction process,cytoplasm:mitochondrion:mitochondrial outer membrane:endoplasmic reticulum:lipid particle:integral component of membrane,acylglycerone-phosphate reductase activity:nucleotide binding:triglyceride lipase activity:oxidoreductase activity,Ayr1p
