proteinname,go_IC
fun14,molecular_function unknown
mtc4,molecular_function unknown
pet8,S-adenosyl-L-methionine transmembrane transporter activity
cks1,cyclin-dependent protein serine/threonine kinase regulator activity
cks1,protein kinase binding
cks1,protein kinase activator activity
cks1,histone binding
cks1,ubiquitin binding
cks1,cyclin-dependent protein serine/threonine kinase activator activity
fhn1,molecular_function unknown
iml2,molecular_function unknown
cdc28,nucleotide binding
cdc28,RNA polymerase II core binding
cdc28,protein kinase activity
cdc28,protein serine/threonine kinase activity
cdc28,cyclin-dependent protein serine/threonine kinase activity
cdc28,ATP binding
cdc28,kinase activity
cdc28,transferase activity
cdc28,"transferase activity, transferring phosphorus-containing groups"
cdc28,histone binding
ypl191c,molecular_function unknown
ypl191c,thiol-dependent ubiquitin-specific protease activity
ypl191c,peptidase activity
ypl191c,cysteine-type peptidase activity
ypl191c,hydrolase activity
ypl191c,thiol-dependent ubiquitinyl hydrolase activity
ypl191c,Lys48-specific deubiquitinase activity
ypl039w,molecular_function unknown
ayr1,acylglycerone-phosphate reductase activity
ayr1,nucleotide binding
ayr1,triglyceride lipase activity
ayr1,oxidoreductase activity
mud2,nucleotide binding
mud2,nucleic acid binding
mud2,RNA binding
mud2,mRNA binding
mud2,pre-mRNA branch point binding
clg1,cyclin-dependent protein serine/threonine kinase regulator activity
clg1,protein kinase binding
ics3,molecular_function unknown
hul5,ubiquitin-protein transferase activity
hul5,transferase activity
hul5,ligase activity
hul5,ubiquitin-ubiquitin ligase activity
pfd1,unfolded protein binding
atg29,molecular_function unknown
tir4,molecular_function unknown
tir4,structural constituent of cell wall
mae1,nucleotide binding
mae1,malic enzyme activity
mae1,malate dehydrogenase (decarboxylating) (NAD+) activity
mae1,oxaloacetate decarboxylase activity
mae1,oxidoreductase activity
mae1,"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor"
mae1,metal ion binding
mae1,NAD binding
thr1,nucleotide binding
thr1,homoserine kinase activity
thr1,ATP binding
thr1,kinase activity
thr1,transferase activity
smc5,nucleotide binding
smc5,damaged DNA binding
smc5,single-stranded DNA binding
smc5,ATP binding
smc5,ATPase activity
smc5,SUMO transferase activity
ask1,structural constituent of cytoskeleton
ask1,microtubule binding
ask1,microtubule plus-end binding
msn1,DNA binding
msn1,sequence-specific DNA binding
hir1,DNA binding
hir1,chromatin binding
hir1,transcription corepressor activity
hir1,nucleosome binding
arc15,mRNA binding
arc15,structural molecule activity
arc15,actin filament binding
cab5,nucleotide binding
cab5,dephospho-CoA kinase activity
cab5,ATP binding
cab5,kinase activity
cab5,transferase activity
gis2,nucleic acid binding
gis2,single-stranded DNA binding
gis2,mRNA binding
gis2,zinc ion binding
gis2,translation regulator activity
gis2,metal ion binding
ppg1,phosphoprotein phosphatase activity
ppg1,protein serine/threonine phosphatase activity
ppg1,hydrolase activity
ppg1,metal ion binding
pet494,translation regulator activity
sec65,7S RNA binding
caf40,molecular_function unknown
bet1,SNAP receptor activity
bna6,catalytic activity
bna6,nicotinate-nucleotide diphosphorylase (carboxylating) activity
bna6,transferase activity
bna6,"transferase activity, transferring glycosyl groups"
bna6,"transferase activity, transferring pentosyl groups"
rcf2,molecular_function unknown
yjr115w,molecular_function unknown
yhr078w,molecular_function unknown
poc4,molecular_function unknown
tel2,DNA binding
tel2,telomeric DNA binding
exg1,catalytic activity
exg1,"glucan exo-1,3-beta-glucosidase activity"
exg1,"hydrolase activity, hydrolyzing O-glycosyl compounds"
exg1,hydrolase activity
exg1,"hydrolase activity, acting on glycosyl bonds"
ilv5,double-stranded DNA binding
ilv5,ketol-acid reductoisomerase activity
ilv5,oxidoreductase activity
ilv5,"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor"
ilv5,metal ion binding
ilv5,coenzyme binding
hta2,DNA binding
hta2,protein heterodimerization activity
qdr3,polyamine transmembrane transporter activity
qdr3,drug transmembrane transporter activity
hir3,DNA binding
hir3,transcription corepressor activity
hir3,nucleosome binding
exo1,DNA binding
exo1,catalytic activity
exo1,nuclease activity
exo1,exonuclease activity
exo1,5'-3' exonuclease activity
exo1,hydrolase activity
exo1,"hydrolase activity, acting on ester bonds"
exo1,5'-flap endonuclease activity
exo1,5'-3' exodeoxyribonuclease activity
exo1,metal ion binding
yor062c,molecular_function unknown
yhr112c,catalytic activity
yhr112c,cystathionine gamma-synthase activity
yhr112c,cystathionine beta-lyase activity
yhr112c,cystathionine gamma-lyase activity
yhr112c,lyase activity
yhr112c,pyridoxal phosphate binding
nft1,nucleotide binding
nft1,ATP binding
nft1,ATPase activity
nft1,nucleoside-triphosphatase activity
nft1,"ATPase activity, coupled to transmembrane movement of substances"
hbs1,nucleotide binding
hbs1,translation elongation factor activity
hbs1,GTPase activity
hbs1,GTP binding
hbs1,ribosome binding
yer121w,molecular_function unknown
img1,structural constituent of ribosome
lot6,NAD(P)H dehydrogenase (quinone) activity
lot6,transcription factor binding
lot6,FMN binding
lot6,oxidoreductase activity
lot6,FMN reductase (NADPH) activity
lot6,FMN reductase (NADH) activity
erg11,monooxygenase activity
erg11,iron ion binding
erg11,sterol 14-demethylase activity
erg11,electron carrier activity
erg11,oxidoreductase activity
erg11,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen"
erg11,heme binding
erg11,metal ion binding
ynl144c,molecular_function unknown
eap1,nucleotide binding
eap1,mRNA binding
eap1,ATP binding
eap1,eukaryotic initiation factor 4E binding
pnt1,molecular_function unknown
ynl208w,molecular_function unknown
she9,molecular_function unknown
opt2,oligopeptide transporter activity
opt2,oligopeptide transmembrane transporter activity
uga1,catalytic activity
uga1,4-aminobutyrate transaminase activity
uga1,transaminase activity
uga1,transferase activity
